name,address,category,lat,lon,query
Беларусбанк,"Брест, ул. Гоголя, 2, ОАО Белорусская универсальная товарная биржа Брестский филиал",,52.088782,23.674148,банкомат
Беларусбанк,"Брест, просп. Машерова, 21",,52.086071,23.696741,банкомат
Беларусбанк,"Брест, просп. Машерова, 18, Управление статистики",,52.086467,23.685904,банкомат
Альфа-Банк,"Брест, Советская ул., 56",,52.09157,23.694461,банкомат
Беларусбанк,"Брест, бул. Космонавтов, 94, этаж 1",,52.091208,23.701523,банкомат
Сбер Банк,"Брест, бул. Шевченко, 4, Административное здание ОАО «Строительный трест №8»",,52.086524,23.703718,банкомат
Беларусбанк,"Брест, ул. Кижеватова, 1Б",,52.101578,23.680745,банкомат
Сбер Банк,"Брест, бул. Космонавтов, 33, магазин ""Сатурн""",,52.097487,23.69534,банкомат
Сбер Банк,"Брест, Варшавское ш., 43, ДО №100 Брест Региональной дирекции №100 по Брестской области ОАО ""Сбер Банк""",,52.074437,23.705885,банкомат
Беларусбанк,"Брест, Комсомольская ул., 25/2",,52.094831,23.688334,банкомат
Беларусбанк,"Брест, ул. Героев Обороны Брестской Крепости, 74/1",,52.091773,23.654901,банкомат
Беларусбанк,"Брест, ул. Писателя Смирнова, 21, отдел 100/1023",,52.099602,23.649619,банкомат
Беларусбанк,"Брест, Советская ул., 62",,52.090683,23.694324,банкомат
Белагропромбанк,"Брест, ул. Писателя Смирнова, 100, Центр банковских услуг №116",,52.107414,23.642443,банкомат
Белинвестбанк,"Брест, ул. Махновича, 36",,52.066439,23.696306,банкомат
Беларусбанк,"Брест, ул. Карбышева, 25, этаж 1",,52.097156,23.692466,банкомат
Белинвестбанк,"Брест, ул. Писателя Смирнова, 23",,52.100065,23.650013,банкомат
Приорбанк,"Брест, ул. Куйбышева, 15, этаж 0",,52.096491,23.691678,банкомат
Приорбанк,"Брест, ул. Чкалова, 7, этаж 1",,52.094083,23.681203,банкомат
Беларусбанк,"Брест, ул. Орджоникидзе, 12, Автовокзал",,52.098979,23.681603,банкомат
Белгазпромбанк,"Брест, бул. Космонавтов, 90",,52.09261,23.701143,банкомат
Белгазпромбанк,"Брест, просп. Машерова, 16, этаж 1",,52.086427,23.683611,банкомат
МТБАНК,"Брест, просп. Машерова, 53, Рядом с РКЦ №19",,52.087553,23.703834,банкомат
Приорбанк,"Брест, бул. Космонавтов, 120, магазин ""Брест-книга""",,52.088186,23.703178,банкомат
