name,address,category,lat,lon,query
Сбер Банк,"Гомель, Речицкий просп., 61, корп. 1",,52.408867,30.931117,банкомат
Сбер Банк,"Гомель, Речицкий просп., 105, ЧПУП ""Швец""",,52.407052,30.922025,банкомат
Беларусбанк,"Гомель, Речицкий просп., 91, Слева от входа, отдел №300/3011",,52.407077,30.92387,банкомат
Белагропромбанк,"Гомель, Речицкий просп., 86А",,52.404837,30.919136,банкомат
Приорбанк,"Гомель, Речицкий просп., 61, корп. 1",,52.408955,30.932477,банкомат
Беларусбанк,"Гомель, квартал МЖК Солнечный, 6, отдел 300/3017",,52.399538,30.912817,банкомат
Белинвестбанк,"Гомель, Речицкий просп., 61, корп. 1",,52.408905,30.932216,банкомат
Белагропромбанк,"Гомель, Речицкий просп., 65",,52.408361,30.930347,банкомат
Белинвестбанк,"Гомель, Медицинская ул., 4, Учреждение Гомельский областной клинический кардиологический диспансер",,52.396544,30.904374,банкомат
Беларусбанк,"Гомель, Речицкий просп., 91, отдел №300/3011",Банк,52.407112,30.924034,отделение банка
Белинвестбанк,"Гомель, просп. Октября, 50/2",Банк,52.40665,30.93544,отделение банка
Беларусбанк,"Гомель, ул. МЖК Солнечный, 6, отдел №300/3017",Банк,52.399678,30.912718,отделение банка
Белинвестбанк,"Гомель, Междугородняя ул., 7А, подъезд 3",Банк,52.421608,30.922876,отделение банка
Банкомат,"посёлок Чёнки, Речная ул., 10А",,52.350656,30.974535,банкомат
Беларусбанк,"Гомель, ул. Ильича, 333, ТЦ Кристалл В фойе ТЦ",,52.357514,31.028956,банкомат
Сбер Банк,"Гомель, просп. Октября, 41, магазин ""Ласточка""",,52.406172,30.954302,банкомат
Беларусбанк,"Гомель, просп. Октября, 67",,52.405448,30.948511,банкомат
Сбер Банк,"Гомель, Крестьянская ул., 29",,52.426555,31.005869,банкомат
Беларусбанк,"Гомель, Брестская ул., 2, Супермаркет Брестский",,52.412671,30.949625,банкомат
Сбер Банк,"Гомель, Речицкий просп., 5В, ТЦ ""Мандарин Плаза"", этаж 1",,52.416326,30.960524,банкомат
Альфа-Банк,"Гомель, Речицкий просп., 5В, этаж 1",,52.416639,30.961079,банкомат
Paritetbank,"Гомель, просп. Ленина, 29",,52.42664,31.005512,банкомат
Белагропромбанк,"Гомель, Речицкий просп., 5В, этаж 1",,52.416345,30.960506,банкомат
"Белгазпромбанк, банкомат","Гомель, Речицкий просп., 5В, этаж 1",,52.41681,30.961622,банкомат
Белинвестбанк,"Гомель, ул. Барыкина, 100",,52.41809,30.973835,банкомат
Беларусбанк,"Гомель, ул. Барыкина, 161, отдел 300/134",,52.42054,30.959715,банкомат
Белагропромбанк,"Гомель, просп. Октября, 28В",Банк,52.407347,30.957735,отделение банка
Беларусбанк,"Гомель, ул. Жукова, 42А, отдел №300/3019",Банк,52.406916,30.968145,отделение банка
Беларусбанк,"Гомель, Речицкий просп., 16, отдел №300/3006",Банк,52.415519,30.960947,отделение банка
Приорбанк,"Гомель, ул. Ильича, 333, этаж 1",,52.356873,31.027371,банкомат
Беларусбанк,"Гомель, ул. Ильича, 93",,52.380253,31.028784,банкомат
Приорбанк,"Гомель, ул. Ильича, 161Ж",,52.378143,31.026591,банкомат
Альфа-Банк,"Гомель, ул. Ильича, 333",,52.357056,31.027999,банкомат
Белинвестбанк,"Гомель, ул. Косарева, 53",,52.400277,30.92308,банкомат
Беларусбанк,"Гомель, Черноморская ул., 13, Супермаркет Соседи",,52.421986,30.951449,банкомат
Белгазпромбанк,"Гомель, просп. Октября, 22А",,52.408867,30.963256,банкомат
Беларусбанк,"Гомель, ул. Жукова, 40А, отдел 300/3019",,52.406723,30.967562,банкомат
Беларусбанк,"Гомель, ул. Ильича, 47, магазин Друзья",,52.394787,31.028353,банкомат
"Приорбанк, банкомат","Гомель, ул. Гагарина, 6, этаж 1",,52.418959,31.010783,банкомат
Беларусбанк,"Гомель, Жемчужная ул., 30, отдел №300/3061",Банк,52.358102,31.019847,отделение банка
Технобанк,"Гомель, ул. Ильича, 333, этаж 1",Банк,52.35713,31.027829,отделение банка
Беларусбанк,"Гомель, ул. Ильича, 93",Банк,52.380359,31.028831,отделение банка
Беларусбанк,"агрогородок Бобовичи, Пролетарская ул., 1, отдел №300/3074",Банк,52.339517,30.923021,отделение банка
Банкомат,"Гомель, ул. Белого, 52А",,52.360898,31.017242,банкомат
Белагропромбанк,"Гомель, ул. Ильича, 301/2",,52.358547,31.029051,банкомат
"Беларусбанк, инфокиоск","Гомель, Жемчужная ул., 30, отдел №300/3061",,52.358077,31.019937,банкомат
Белинвестбанк,"Гомель, ул. Ильича, 301, корп. 1",,52.358175,31.029088,банкомат
Беларусбанк,"Гомель, Жемчужная ул., 30, Слева от входа, отдел 300/3061",Инфокиоск,52.358057,31.0199,банкомат
Сбер Банк,"Гомель, ул. Ильича, 301, ОАО ""НТК"" Алеся",,52.35838,31.02887,банкомат
Беларусбанк,"Гомель, ул. Ильича, 333, этаж 1",,52.356874,31.027373,банкомат
Белгазпромбанк,"Гомель, ул. Ильича, 333",,52.356847,31.027445,банкомат
ВТБ,"Гомель, ул. Ильича, 333, этаж 1",,52.357193,31.027971,банкомат
Технобанк,"Гомель, ул. Ильича, 333, этаж 1",,52.357088,31.027863,банкомат
Приорбанк,"Гомель, ул. Ильича, 333, ООО Атриони",,52.356884,31.027891,банкомат
Альфа-Банк,"Гомель, ул. Ильича, 333, ТРЦ Кристалл",,52.356884,31.027891,банкомат
Альфа-Банк,"Гомель, ул. Ильича, 333, этаж 1",Банк,52.357043,31.028007,отделение банка
Беларусбанк,"Гомель, ул. Ильича, 290, этаж 1",,52.35156,31.036848,банкомат
Беларусбанк,"Гомель, Дубравная ул., 11, магазин Соседи",,52.353473,31.047495,банкомат
Белагропромбанк,"Гомель, Дубравная ул., 10, Cупермаркет "" Санта""",,52.35459,31.045673,банкомат
Белинвестбанк,"Гомель, ул. Оськина, 20",,52.355967,31.051004,банкомат
Беларусбанк,"Гомель, Жемчужная ул., 30",,52.358089,31.019893,банкомат
Беларусбанк,"Гомель, ул. Ильича, 290, отдел №300/3060",Банк,52.351543,31.036947,отделение банка
Беларусбанк,"Гомель, ул. Ильича, 93",Инфокиоск,52.380224,31.02878,отделение банка
Сбер Банк,"Гомель, ул. Ильича, 57, магазин ""Этюд""",,52.388343,31.029377,банкомат
Беларусбанк,"Гомель, Добрушская ул., 5/3, УЗ Гомельская туббольница",,52.40451,31.050224,банкомат
Беларусбанк,"Гомель, Могилёвская ул., 16/9, РУП Гомельский завод литья и нормалей",,52.455826,30.920159,банкомат
Беларусбанк,"агрогородок Урицкое, ул. Н.Г. Ятченко, 3, отдел №300/3069",Банк,52.467842,30.804965,отделение банка
