name,address,category,lat,lon,query
Сбер Банк,"Гродно, ул. 1 Мая, 2/2, ДО № 400 по Гродненской области Сбер Банк ATM13620",,53.687057,23.836173,банкомат
Беларусбанк,"Гродно, ул. Соломовой, 112, этаж 1",,53.656506,23.780838,банкомат
Беларусбанк,"Гродно, ул. Огинского, 22, этаж 1",,53.61997,23.8129,банкомат
Беларусбанк,"Гродно, ул. Стефана Батория, 10, магазин Батория",,53.677271,23.83054,банкомат
БПС-Сбербанк,"Гродно, Красноармейская ул., 7А/1",,53.677809,23.843483,банкомат
Беларусбанк,"Гродно, просп. Космонавтов, 27, магазин Доброном слева от входа",,53.675879,23.84628,банкомат
Белинвестбанк,"Гродно, ул. Огинского, 22, этаж 1",,53.62,23.812897,банкомат
Беларусбанк,"Гродно, ул. Соломовой, 70, Супермаркет Евроопт",,53.66713,23.788891,банкомат
Альфа-Банк,"Гродно, ул. Максима Горького, 47, этаж 1",,53.690636,23.825711,банкомат
Беларусбанк,"Гродно, просп. Янки Купалы, 87, этаж 1",,53.650231,23.854056,банкомат
Беларусбанк,"Гродно, ул. Садакова, 1",,53.629713,23.855197,банкомат
Альфа-Банк,"Гродно, проспект Космонавтов, Остановка Автовокзал",,53.676719,23.84338,банкомат
Альфа-Банк,"Гродно, просп. Янки Купалы, 87/2",,53.649407,23.85551,банкомат
Альфа-Банк,"Гродно, просп. Янки Купалы, 82А",,53.654699,23.849158,банкомат
Приорбанк,"Гродно, Советская ул., 18, этаж 1",,53.682485,23.831861,банкомат
Беларусбанк,"Гродно, ул. Максима Горького, 80, Гродненский государственный медицинский университет",,53.700347,23.817503,банкомат
СберБанк,"Гродно, просп. Янки Купалы, 87/1, """" (, зона банкоматов)"", ТРЦ """"TRINITI"", этаж 1",,53.649846,23.855985,банкомат
Беларусбанк,"Гродно, ул. Победы, 47, этаж 1",,53.650387,23.832975,банкомат
Беларусбанк,"Гродно, ул. Советских Пограничников, 94",,53.67098,23.807696,банкомат
БелВЭБ,"Гродно, Калючинская ул., 21, этаж 1",,53.679341,23.830875,банкомат
Беларусбанк,"Гродно, ул. Будённого, 37, этаж 2",,53.686389,23.848316,банкомат
Белагропромбанк,"Гродно, Советская ул., 4, Центр банковских услуг №401/4",,53.679375,23.829314,банкомат
Беларусбанк,"Гродно, бул. Ленинского Комсомола, 34, отдел №400/4001",Банк,53.698001,23.811364,банкомат
Белинвестбанк,"Гродно, ул. Соломовой, 82",,53.663373,23.784718,банкомат
Альфа-Банк,"Гродно, ул. Ожешко, 6А, этаж 1",,53.682754,23.833166,банкомат
Беларусбанк,"Гродно, ул. Огинского, 35, этаж 1",,53.620699,23.806774,банкомат
Беларусбанк,"Гродно, ул. Великая Ольшанка, 13, этаж 1",,53.622353,23.815503,банкомат
Приорбанк,"Гродно, ул. Огинского, 22, этаж 1",,53.620017,23.812969,банкомат
"БелВЭБ, бакномат","Гродно, ул. Огинского, 12",,53.618318,23.81591,банкомат
Белагропромбанк,"Гродно, ул. Огинского, 2, этаж 1",,53.615257,23.819936,банкомат
Белгазпромбанк,"Гродно, ул. Великая Ольшанка, 13, этаж 1",,53.622366,23.815569,банкомат
БелВЭБ,"Гродно, ул. Огинского, 12, этаж 1",,53.61832,23.815904,банкомат
Беларусбанк,"Гродно, ул. Великая Ольшанка, 13, Обменный пункт №400/4048",Банк,53.622501,23.815524,отделение банка
Беларусбанк,"Гродно, ул. Кабяка, 2, отдел №400/4014",Банк,53.641828,23.844487,отделение банка
Приорбанк,"Гродно, ул. Огинского, 22, ТЦ Детский Мир",,53.62008,23.812685,банкомат
Беларусбанк,"Гродно, Индурское ш., 30, отдел №400/4018",Банк,53.622099,23.865434,отделение банка
Беларусбанк,"Гродно, Индурское ш., 30",,53.624083,23.864333,банкомат
Белагропромбанк,"Гродно, Стрелковая ул., 21, Здание, магазин ""Евроопт""",,53.636173,23.851645,банкомат
Беларусбанк,"Гродно, Южная ул., 2, магазин Дионис",,53.643975,23.871986,банкомат
Беларусбанк,"Гродно, ул. Кабяка, 2",,53.641828,23.844368,банкомат
Беларусбанк,"Гродно, просп. Янки Купалы, 87, этаж 1",Банк,53.650267,23.854077,отделение банка
Беларусбанк,"Гродно, ул. Кабяка, 41, отдел 400/4011",Банк,53.64639,23.866785,отделение банка
Приорбанк,"Гродно, просп. Янки Купалы, 87",Банк,53.65025,23.855261,отделение банка
Беларусбанк,"Гродно, просп. Янки Купалы, 24, этаж 2",Банк,53.658241,23.84008,отделение банка
Беларусбанк,"Гродно, просп. Клецкова, 34, отдел 400/4012",Банк,53.649558,23.842694,отделение банка
Беларусбанк,"Гродно, ул. Пучкова, 36, Удаленное рабочее, место 400/4051",Банк,53.651699,23.805418,отделение банка
Белинвестбанк,"Гродно, ул. Фомичёва, 2, этаж 1",Банк,53.657659,23.842387,отделение банка
Сбер Банк,"Гродно, ул. 1 Мая, 2/2",Банк,53.687032,23.83615,отделение банка
Белорусский народный банк,"Гродно, Социалистическая ул., 44, Вход со стороны улицы",Банк,53.678179,23.834549,отделение банка
МТБАНК,"Гродно, ул. Ленина, 5/1",Банк,53.679697,23.841741,отделение банка
Paritetbank,"Гродно, ул. Антонова, 9",Банк,53.675642,23.841261,отделение банка
"МТБАНК, отделения","Гродно, ул. Карла Маркса, 44, Расчётно-кассовый центр №32",Банк,53.677076,23.839805,отделение банка
Беларусбанк,"Гродно, ул. Советских Пограничников, 94, отдел №400/4010",Банк,53.670948,23.80794,отделение банка
Белинвестбанк,"Гродно, ул. Советских Пограничников, 92",Банк,53.670814,23.808812,отделение банка
Белинвестбанк,"Гродно, просп. Янки Купалы, 63",,53.654434,23.846797,банкомат
Беларусбанк,"Гродно, ул. Ожешко, 42, Справа от входа, отдел 400/4035",,53.686628,23.845686,банкомат
Сбер Банк,"Гродно, ул. Победы, 16, Административное здание ОАО ""Автобусный парк г. Гродно""",,53.659681,23.834194,банкомат
Беларусбанк,"Гродно, просп. Космонавтов, 10Б, отдел №400/4025",Банк,53.675463,23.852919,отделение банка
БелВЭБ,"Гродно, Калючинская ул., 21",Банк,53.679524,23.830993,отделение банка
Беларусбанк,"Гродно, ул. Ожешко, 42, отдел №400/4035",Банк,53.686621,23.845641,отделение банка
Беларусбанк,"Гродно, ул. Ожешко, 2, отдел №400/4017",Банк,53.682691,23.832796,отделение банка
Белинвестбанк,"Гродно, ул. Дзержинского, 2/1",Банк,53.686027,23.834726,отделение банка
Альфа-Банк,"Гродно, ул. Ожешко, 6А",Банк,53.68277,23.833226,отделение банка
Беларусбанк,"агрогородок Обухово, Центральная ул., 4, отдел №400/4071",Банк,53.605398,24.082859,отделение банка
Банк Дабрабыт,"Гродно, Большая Троицкая ул., 1",Банк,53.682882,23.830691,отделение банка
Банк ВТБ,"Гродно, ул. Антонова, 21",Банк,53.674442,23.840611,отделение банка
Беларусбанк,"Гродно, ул. Будённого, 37, этаж 3",Банк,53.686398,23.848403,отделение банка
Альфа-Банк,"Гродно, ул. Советских Пограничников, 110А, этаж 1",,53.671791,23.798991,банкомат
Беларусбанк,"Гродно, ул. Дзержинского, 113А",,53.705395,23.840934,банкомат
Белагропромбанк,"Гродно, ул. Советских Пограничников, 110, этаж 1",,53.671066,23.799832,банкомат
Беларусбанк,"Гродно, ул. Фолюш, 15/204А, отдел №400/4016",Банк,53.661878,23.781963,отделение банка
Беларусбанк,"Гродно, ул. Фолюш, 15/193, отдел №400/4015",Банк,53.66629,23.777542,отделение банка
Белагропромбанк,"Гродно, ул. Советских Пограничников, 110, здание банка",Банк,53.67111,23.79969,отделение банка
Белагропромбанк,"Гродно, ул. Соломовой, 137",Банк,53.659187,23.781008,отделение банка
Беларусбанк,"Гродно, ул. Суворова, 308, этаж 1",,53.647468,23.780906,банкомат
Приорбанк,"Гродно, ул. Соломовой, 131",,53.660353,23.78169,банкомат
Сбер Банк,"Гродно, ул. Лизы Чайкиной, 45, аптека № 134",,53.665497,23.789141,банкомат
Белгазпромбанк,"Гродно, ул. Соломовой, 112, этаж 1",,53.656485,23.780789,банкомат
Приорбанк,"Гродно, ул. Славинского, 4/63, этаж 1",,53.644523,23.821276,банкомат
Сбер Банк,"Гродно, ул. Победы, 47, Гипермаркет ""Евроопт""",,53.650762,23.832166,банкомат
Беларусбанк,"Гродно, ул. Славинского, 4/63",,53.64439,23.821486,банкомат
Беларусбанк,"Гродно, просп. Клецкова, 3А, магазин Ника Справа от входа",,53.648062,23.84029,банкомат
Белгазпромбанк,"Гродно, просп. Клецкова, 2А",,53.6488,23.836399,банкомат
Белинвестбанк,"Гродно, просп. Клецкова, 21Б",,53.647055,23.846103,банкомат
Беларусбанк,"Гродно, Индурское ш., 8, магазин Нарочь",,53.643936,23.841141,банкомат
Белгазпромбанк,"Гродно, ул. Кабяка, 8Б, Торговый центр",,53.645069,23.847784,банкомат
