name,address,category,lat,lon,query
"Белинвестбанк, банкомат","Минский район, Щомыслицкий сельсовет, Меньковский тракт, 43, подъезд 1, этаж 2",,53.851158,27.423803,банкомат
Альфа-Банк,"Минский район, Щомыслицкий сельсовет, 32, корп. 4",,53.850481,27.433535,банкомат
Сбер Банк,"Минский район, Щомыслицкий сельсовет, 107",,53.846459,27.426549,банкомат
Приорбанк,"ул. Громова, 20, универсам ""Соседи""",,53.853607,27.444455,банкомат
Беларусбанк,"ул. Космонавтов, 28, Санта, этаж 1",,53.850013,27.456025,банкомат
ATM Белинвестбанк,"Слободская ул., 47, Санта, этаж 1",,53.853217,27.435376,банкомат
Белагропромбанк,"Минский район, Щомыслицкий сельсовет, 32, корп. 4, этаж 2",,53.84894,27.43443,банкомат
Банк Дабрабыт,"ул. Сергея Есенина, 30, этаж 1",,53.851649,27.456034,банкомат
"Белинвестбанк, банкомат","просп. Дзержинского, 126, Гипермаркет ""ProStore"", этаж 1",,53.846846,27.471454,банкомат
Беларусбанк,"Слободская ул., 15, Лицевая сторона отделения, отдел №527/447",,53.860735,27.429769,банкомат
Белинвестбанк,"ул. Космонавтов, 28, этаж 1",,53.850147,27.456044,банкомат
Альфа-Банк,"просп. Дзержинского, 119",,53.851256,27.47677,банкомат
Беларусбанк,"просп. Дзержинского, 131, Лицевая сторона отделения, отдел №527/452",,53.844608,27.473832,банкомат
Альфа-Банк,"просп. Дзержинского, 126",,53.846846,27.471711,банкомат
Беларусбанк,"ул. Сергея Есенина, 16, отдел 500/287, этаж 1",,53.849927,27.461935,банкомат
БСБ Банк,"ул. Космонавтов, 28, Виталюр",,53.850081,27.456079,банкомат
МТБАНК,"просп. Дзержинского, 122, этаж 1",,53.850149,27.473709,банкомат
Белгазпромбанк,"просп. Дзержинского, 126, этаж 1",,53.847052,27.471501,банкомат
Беларусбанк,"просп. Дзержинского, 119, этаж 1",,53.851866,27.476932,банкомат
БСБ Банк,"Озерцо, Менкоўскі тракт, 2, подъезд 1",,53.853235,27.421177,банкомат
