name,address,category,lat,lon,query
Беларусбанк,"Могилёв, Ленинская ул., 23А, Торговый центр",,53.897246,30.335908,банкомат
Беларусбанк,"Могилёв, ул. Симонова, 29Б",,53.866165,30.313922,банкомат
Беларусбанк,"Могилёв, ул. Якубовского, 44, этаж 1",,53.918234,30.301592,банкомат
Белагропромбанк,"Могилёв, ул. Гагарина, 79, Строительный гипермаркет БИЛД",,53.880959,30.318934,банкомат
Сбер Банк,"Могилёв, Первомайская ул., 57, зона банкоматов), ТЦ ""Атриум"", этаж 1",,53.904241,30.339333,банкомат
Беларусбанк,"Могилёв, Первомайская ул., 57, этаж 1",,53.904403,30.339788,банкомат
Беларусбанк,"Могилёв, ул. Кутепова, 6, магазин Обжора-1",,53.873028,30.306796,банкомат
Беларусбанк,"Могилёв, просп. Димитрова, 45, магазин 85 Южный",,53.873651,30.375728,банкомат
Приорбанк,"Могилёв, ул. Мовчанского, 6",,53.872453,30.362709,банкомат
Беларусбанк,"Могилёв, Первомайская ул., 21, отдел 700/65",,53.899581,30.334126,банкомат
Альфа-Банк,"Могилёв, ул. Мовчанского, 6",,53.87238,30.362525,банкомат
Сбер Банк,"Могилёв, ул. Гагарина, 79, этаж 1",,53.879847,30.317477,банкомат
Беларусбанк,"Могилёв, просп. Шмидта, 28, этаж 1",,53.873777,30.319896,банкомат
Беларусбанк,"Могилёв, ул. Златоустовского, 34, отдел №700/7032",,53.882586,30.366502,банкомат
Беларусбанк,"Могилёв, ул. Чайковского, 8, ТЦ Строймаркет",,53.877141,30.334341,банкомат
Сбер Банк,"Могилёв, ул. Островского, 5, зона банкоматов), ТЦ ""Планета GREEN"", этаж 1",,53.874977,30.333091,банкомат
Белагропромбанк,"Могилёв, Пионерская ул., 12, Центр банковских услуг №603/4",,53.89749,30.338201,банкомат
Альфа-Банк,"Могилёв, Первомайская ул., 57",,53.904209,30.339309,банкомат
Приорбанк,"Могилёв, Габровская ул., 32, этаж 1",,53.868801,30.348582,банкомат
Беларусбанк,"Могилёв, Пушкинский просп., 34, отдел 700/7002",,53.871909,30.347678,банкомат
Сбер Банк,"Могилёв, Витебский просп., 9",,53.88241,30.40817,банкомат
Альфа-Банк,"Могилёв, Первомайская ул., 42",,53.909251,30.340186,банкомат
Беларусбанк,"Могилёв, ул. Островского, 1Б, отдел 700/141",,53.871636,30.327444,банкомат
Сбер Банк,"Могилёв, ул. Космонавтов, 34, магазин ""Каскад""",,53.909024,30.312606,банкомат
"Приорбанк, банкомат","Могилёв, Пушкинский просп., 12, этаж 1",,53.87866,30.338408,банкомат
Сбер Банк,"Могилёв, просп. Шмидта, 106, ТЭЦ-2",,53.814522,30.338723,банкомат
"Сбер Банк, банкомат","Могилёвский район, Вейнянский сельсовет, 16",,53.831652,30.343069,банкомат
Беларусбанк,"Могилёв, просп. Шмидта, 45/1, Производственное предприятие Проходная",,53.821026,30.334496,банкомат
Беларусбанк,"агрогородок Восход, Центральная ул., 2А, отдел №700/7027",Банк,53.777197,30.349016,отделение банка
СберБанк,"Могилёв, Пушкинский просп., 24",Банк,53.874681,30.343818,отделение банка
Беларусбанк,"Могилёв, ул. Академика Павлова, 2, корп. 8",,53.865776,30.38352,банкомат
Беларусбанк,"Могилёв, ул. Мовчанского, 6, этаж 1",,53.872446,30.36288,банкомат
Беларусбанк,"агрогородок Вейно, Вейнянская ул., 3, отдел №700/7001",Банк,53.829722,30.385973,отделение банка
Приорбанк,"Могилёв, Первомайская ул., 57, этаж 1",,53.904231,30.339326,банкомат
Сбер Банк,"Могилёв, ул. Мовчанского, 40А, магазин ""Евроопт""",,53.877144,30.366244,банкомат
Беларусбанк,"Могилёв, ул. Королёва, 25, магазин Баклея N18",,53.905084,30.364543,банкомат
Сбер Банк,"Могилёв, ул. Якубовского, 90, магазин ""Керамин""",,53.919567,30.286931,банкомат
Беларусбанк,"Могилёв, Октябрьский район",,53.884097,30.273442,банкомат
Беларусбанк,"Могилёв, ул. Челюскинцев, 41, отдел 700/67",,53.893567,30.311879,банкомат
Беларусбанк,"Могилёв, ул. Симонова, 51, отдел №700/7006",Банк,53.864411,30.310218,отделение банка
БелВЭБ,"Могилёв, Пожарный пер., 17/1",Банк,53.89837,30.337037,отделение банка
Приорбанк,"Могилёв, Первомайская ул., 63",Банк,53.906461,30.339637,отделение банка
Беларусбанк,"агрогородок Межисетки, Фабричная ул., 4, отдел №700/7030",Банк,53.783265,30.189245,отделение банка
Беларусбанк,"Могилёв, ул. Космонавтов, 34А, отдел №700/7011",Банк,53.908432,30.312558,отделение банка
Беларусбанк,"Могилёв, ул. Островского, 1Б, отдел №700/7031",Банк,53.87167,30.327503,отделение банка
Альфа-Банк,"Могилёв, ул. Островского, 15, этаж 1",Банк,53.877986,30.339263,отделение банка
Банк РРБ,"Могилёв, Первомайская ул., 9",Банк,53.898003,30.33325,отделение банка
Беларусбанк,"Могилёв, Первомайская ул., 71А, Областное управление №700/Операционная служба",Банк,53.909986,30.343514,отделение банка
Сбер Банк,"Могилёв, Первомайская ул., 77",Банк,53.911783,30.341477,отделение банка
Беларусбанк,"Могилёв, просп. Шмидта, 28, этаж 1",Банк,53.873776,30.319936,отделение банка
Беларусбанк,"Могилёв, Первомайская ул., 31, отдел №700/7025",Банк,53.902775,30.338217,отделение банка
Белгазпромбанк,"Могилёв, бул. Непокорённых, 37Б",Банк,53.872881,30.330286,отделение банка
Банк ВТБ,"Могилёв, ул. Островского, 5, этаж 1",Банк,53.875289,30.3337,отделение банка
Беларусбанк,"Могилёв, Пушкинский просп., 34, отдел №700/7002",Банк,53.871894,30.347721,отделение банка
Технобанк,"Могилёв, ул. Островского, 5, этаж 1",Банк,53.875095,30.333727,отделение банка
Paritetbank,"Могилёв, Первомайская ул., 69",Банк,53.907985,30.340569,отделение банка
Банк РРБ,"Могилёв, ул. Гагарина, 79, этаж 1",Банк,53.880151,30.317153,отделение банка
МТБАНК,"Могилёв, Ленинская ул., 56",Банк,53.905053,30.343258,отделение банка
Беларусбанк,"Могилёв, просп. Димитрова, 39, отдел №700/7024",Банк,53.872357,30.374132,отделение банка
Беларусбанк,"Могилёв, Октябрьский район",Банк,53.88401,30.27333,отделение банка
Беларусбанк,"Могилёв, просп. Мира, 10, отдел №700/7022",Банк,53.909485,30.334285,отделение банка
Технобанк,"Могилёв, 2-й Крутой пер., 3Б, этаж 1",Банк,53.901228,30.333135,отделение банка
Беларусбанк,"Могилёв, просп. Шмидта, 3, корп. 1",,53.87428,30.317169,банкомат
БелВЭБ,"Могилёв, просп. Шмидта, 45/168",,53.827151,30.334427,банкомат
Белагропромбанк,"Могилёв, Габровская ул., 43, этаж 1",Банк,53.871831,30.359732,отделение банка
Альфа-Банк,"Могилёв, Славгородское ш., 165А, ТЦ Авансум",,53.841116,30.390495,банкомат
Беларусбанк,"Могилёв, ул. Мовчанского, 53, этаж 2",Банк,53.877454,30.374592,отделение банка
Беларусбанк,"Могилёв, ул. Островского, 66, отдел №700/7017",Банк,53.877725,30.337263,отделение банка
Беларусбанк,"Могилёв, ул. Златоустовского, 34, отдел №700/7032",Банк,53.882584,30.366453,отделение банка
Белинвестбанк,"Могилёв, ул. Островского, 15",Банк,53.877769,30.339386,отделение банка
Технобанк,"Могилёв, ул. Терёхина, 9, этаж 1",Банк,53.88192,30.367238,отделение банка
Беларусбанк,"Могилёв, ул. Симонова, 71",Банк,53.863189,30.311233,отделение банка
Беларусбанк,"Могилёв, Витебский просп., 4, Могилёвский автомобильный завод им. Кирова",,53.883834,30.405583,банкомат
Беларусбанк,"Могилёв, ул. Фатина, 4, этаж 1",,53.881782,30.375583,банкомат
