name,address,category,lat,lon,query
Беларусбанк,"Витебск, ул. 39-й Армии, 25, этаж 1",,55.170372,30.127462,банкомат
Беларусбанк,"агрогородок Новка, ул. Сметанина, 4, КСУП Рудаково",,55.13454,30.153789,банкомат
Сбер Банк,"Витебск, Стахановский пер., 7, ОАО ""Витебскдрев""",,55.164294,30.129386,банкомат
Беларусбанк,"Витебск, ул. Максима Горького, 75, отдел №200/2009",Банк,55.173543,30.149871,отделение банка
Беларусбанк,"Витебск, Бешенковичское ш., 3, павильон 19",Банк,55.16025,30.16822,отделение банка
"Сбер Банк, отделения","Витебск, просп. Строителей, 15В, floor 1",Банк,55.170399,30.220981,отделение банка
Белорусский народный банк,"Витебск, ул. Чкалова, 19, корп. 1",Банк,55.173001,30.21267,отделение банка
Белгазпромбанк,"Витебск, просп. Строителей, 1Г",Банк,55.172611,30.202826,отделение банка
Приорбанк,"Витебск, просп. Строителей, 11А, этаж 1",Банк,55.171023,30.215318,отделение банка
Технобанк,"Витебск, ул. Чкалова, 35, этаж 2",Банк,55.162244,30.207379,отделение банка
Беларусбанк,"Витебск, ул. Генерала Маргелова, 1, отдел №200/2031",Банк,55.160848,30.209291,отделение банка
Беларусбанк,"Витебск, ул. Чкалова, 25, корп. 1, отдел №200/2012",Банк,55.167838,30.210266,отделение банка
Беларусбанк,"Витебск, просп. Строителей, 12, отдел №200/2015",Банк,55.171477,30.222868,отделение банка
Белагропромбанк,"Витебск, ул. Чкалова, 35",Банк,55.163053,30.207826,отделение банка
МТБАНК,"Витебск, просп. Строителей, 15В",Банк,55.170451,30.220368,отделение банка
Белагропромбанк,"Молодёжная ул., 2Б, агрогородок Октябрьская",,55.125698,30.267962,банкомат
Беларусбанк,"Витебск, просп. Черняховского, 26",,55.174323,30.200824,банкомат
Беларусбанк,"Витебск, ул. Чкалова, 56, магазин Мясная Лавка",,55.158172,30.214451,банкомат
Беларусбанк,"Витебск, ул. Чкалова, 35, этаж 2",,55.162635,30.207485,банкомат
Альфа-Банк,"Витебск, просп. Строителей, 15, корп. 1",,55.170178,30.222707,банкомат
"Белинвестбанк, банкомат","Витебск, ул. Богатырёва, 34",,55.167228,30.283488,банкомат
Беларусбанк,"Витебск, просп. Строителей, 23, корп. 2",,55.167013,30.238861,банкомат
"Белинвестбанк, банкомат","Витебск, просп. Строителей, 15, корп. 1",,55.170241,30.222267,банкомат
